NHL_player_ID, player,season,timeOnIce,ot,shutouts,wins,ties,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,games,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
8471227,Devan Dubnyk,20142015,1034:56,2,1,9,NA,5,514,98,8,408,9,438,114,0.916,2.7248,19,16,561,47,85.96491228070175,88.88888888888889,93.15068493150685,
8471227,Devan Dubnyk,20142015,2293:16,2,5,27,NA,9,996,150,22,824,22,881,161,0.936,1.7791,39,39,1064,68,93.16770186335404,100.0,93.53007945516458,
8471227,Devan Dubnyk,20152016,3861:24,6,5,32,NA,26,1679,214,38,1427,41,1534,254,0.918,2.3308,67,66,1829,150,84.25196850393701,92.6829268292683,93.02477183833116,
8471227,Devan Dubnyk,20162017,3758:00,5,5,40,NA,19,1701,224,33,1444,35,1554,253,0.923,2.2512,65,63,1842,141,88.53754940711462,94.28571428571428,92.92149292149293,
8471227,Devan Dubnyk,20172018,3450:19,7,5,35,0,16,1624,209,34,1381,37,1491,241,0.918,2.52,60,59,1769,145,86.72199170124482,91.8918918918919,92.6224010731053,
8471227,Devan Dubnyk,20182019,3855:16,6,2,31,0,28,1714,256,56,1402,60,1533,284,0.913,2.54,67,66,1877,163,90.14084507042254,93.33333333333333,91.45466405740378,
8471230,Marek Schwarz,20062007,60:03,0,0,0,NA,1,22,4,0,18,0,19,6,0.88,2.9975,2,1,25,3,66.66666666666666,NA,94.73684210526315,
8471230,Marek Schwarz,20072008,49:38,0,0,0,NA,1,11,2,2,7,2,11,4,0.647,7.2532,2,0,17,6,50.0,100.0,63.63636363636363,
8471230,Marek Schwarz,20082009,15:23,0,0,0,NA,0,5,3,0,2,0,2,3,1.0,0.0,2,0,5,0,100.0,NA,100.0,
8471239,Cory Schneider,20082009,355:24,1,0,2,NA,4,142,20,2,120,2,136,24,0.877,3.3765,8,5,162,20,83.33333333333334,100.0,88.23529411764706,
