GameID,GameType,HomeTeamID,AwayTeamID,HomeTeamName,AwayTeamName,Winner,Date,HomeScore,AwayScore,HomeShots,AwayShots,HomeGiveaways,AwayGiveaways,HomeTakeaways,AwayTakeaways,HomeFO,AwayFO,HomePIM,AwayPIM,HomePPG,AwayPPG,HomePPA,AwayPPA,HomeHits,AwayHits,HomeFaceoff,AwayFaceoff,P1HomeScore,P1AwayScore,P1HomeShots,P1AwayShots,P2HomeScore,P2AwayScore,P2HomeShots,P2AwayShots,P3HomeScore,P3AwayScore,P3HomeShots,P3AwayShots,GoalieWin,GoalieLoss,FirstStar,SecondStar,ThirdStar
2018010068,PR,24,53,Anaheim Ducks,Arizona Coyotes,24,2018-09-24,4,2,28,31,5,6,1,3,6,2,0.0,2.0,1.0,3.0,19,17,48.3,51.7,1,1,10,6,2,0,16,7,1,1,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010069,PR,54,21,Vegas Golden Knights,Colorado Avalanche,21,2018-09-24,3,5,32,28,12,4,12,12,6,6,1.0,1.0,3.0,3.0,44,34,47.0,53.0,0,2,9,7,1,1,11,12,2,2,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010090,PR,29,5,Columbus Blue Jackets,Pittsburgh Penguins,29,2018-09-28,7,6,37,29,11,8,8,6,6,12,1.0,1.0,6.0,3.0,9,12,47.4,52.6,3,3,10,9,2,2,17,12,2,1,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010091,PR,2,7,New York Islanders,Buffalo Sabres,7,2018-09-28,4,5,31,26,0,0,0,0,8,10,2.0,1.0,5.0,4.0,0,0,0.0,0.0,1,1,10,7,2,4,12,14,1,0,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010092,PR,15,12,Washington Capitals,Carolina Hurricanes,12,2018-09-28,4,5,29,36,13,6,10,6,8,14,1.0,2.0,6.0,3.0,17,17,42.6,57.4,1,2,9,11,2,1,8,17,1,1,12,7,1,1,NA,NA,NA,NA,NA,NA,NA,0,
2018010093,PR,10,17,Toronto Maple Leafs,Detroit Red Wings,10,2018-09-28,6,2,29,25,14,16,12,6,30,34,3.0,1.0,6.0,4.0,22,40,48.3,51.7,1,1,9,9,4,0,15,10,1,1,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010094,PR,19,25,St. Louis Blues,Dallas Stars,19,2018-09-28,3,1,26,22,2,1,9,6,6,10,0.0,0.0,5.0,3.0,8,9,41.5,58.5,0,0,14,4,1,0,4,11,2,1,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010095,PR,21,30,Colorado Avalanche,Minnesota Wild,21,2018-09-28,4,3,41,24,5,0,4,5,4,10,2.0,0.0,5.0,2.0,12,15,53.1,46.9,1,0,18,5,1,1,12,11,1,2,10,8,0,0,NA,NA,NA,NA,NA,NA,NA,1,
2018010096,PR,54,26,Vegas Golden Knights,Los Angeles Kings,54,2018-09-28,2,0,30,26,15,13,12,14,10,6,0.0,0.0,2.0,5.0,36,33,58.1,41.9,0,0,10,10,1,0,11,6,1,0,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010097,PR,22,20,Edmonton Oilers,Calgary Flames,22,2018-09-29,4,3,21,42,14,11,8,13,14,6,2.0,1.0,3.0,7.0,17,23,46.4,53.6,1,3,5,19,2,0,8,13,1,0,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010098,PR,6,4,Boston Bruins,Philadelphia Flyers,4,2018-09-29,1,4,27,24,9,7,8,10,4,12,1.0,0.0,6.0,2.0,28,24,51.0,49.0,0,1,6,7,0,0,14,3,1,3,7,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010099,PR,17,10,Detroit Red Wings,Toronto Maple Leafs,17,2018-09-29,5,1,37,26,3,11,6,5,19,13,3.0,0.0,3.0,6.0,21,17,41.8,58.2,2,0,12,9,2,1,13,9,1,0,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010100,PR,13,14,Florida Panthers,Tampa Bay Lightning,14,2018-09-29,2,3,33,26,8,6,7,6,2,4,1.0,0.0,2.0,1.0,10,13,56.7,43.3,1,1,11,7,1,0,10,12,0,2,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010101,PR,9,8,Ottawa Senators,Montréal Canadiens,9,2018-09-29,3,0,31,19,11,11,8,7,7,11,1.0,0.0,3.0,1.0,25,35,51.8,48.2,1,0,7,7,2,0,14,9,0,0,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010102,PR,16,29,Chicago Blackhawks,Columbus Blue Jackets,16,2018-09-29,4,1,36,17,6,4,9,4,6,10,1.0,1.0,3.0,1.0,23,24,50.9,49.1,2,0,12,4,2,0,17,5,0,1,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010103,PR,23,53,Vancouver Canucks,Arizona Coyotes,53,2018-09-29,1,4,20,27,0,0,0,0,10,4,0.0,1.0,2.0,5.0,0,0,0.0,0.0,0,2,6,7,0,1,9,8,1,1,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010104,PR,26,24,Los Angeles Kings,Anaheim Ducks,24,2018-09-29,0,3,32,37,11,7,1,4,14,12,0.0,0.0,5.0,6.0,27,17,57.4,42.6,0,2,6,18,0,1,18,7,0,0,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010105,PR,12,18,Carolina Hurricanes,Nashville Predators,18,2018-09-30,4,5,32,32,17,13,9,7,18,14,1.0,2.0,6.0,8.0,24,23,59.3,40.7,2,2,9,15,0,1,9,9,2,1,14,7,1,1,NA,NA,NA,NA,NA,NA,NA,0,
2018010106,PR,15,19,Washington Capitals,St. Louis Blues,15,2018-09-30,5,2,26,23,7,11,8,3,16,14,0.0,0.0,6.0,4.0,14,8,61.5,38.5,0,0,6,6,1,1,11,14,4,1,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010107,PR,25,21,Dallas Stars,Colorado Avalanche,21,2018-09-30,5,6,37,27,14,8,6,5,27,11,1.0,2.0,3.0,6.0,21,5,62.5,37.5,2,3,9,13,1,2,10,6,2,1,18,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010108,PR,54,28,Vegas Golden Knights,San Jose Sharks,54,2018-09-30,5,2,27,35,8,12,21,11,16,10,1.0,2.0,4.0,6.0,20,26,55.1,44.9,1,0,8,10,3,1,14,11,1,1,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010110,PR,7202,22,Koln Haie,Edmonton Oilers,22,2018-10-03,3,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,1,1,0,0,2,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,
2018020001,R,10,8,Toronto Maple Leafs,Montréal Canadiens,10,2018-10-03,3,2,26,36,21,10,5,5,8,6,1.0,1.0,3.0,4.0,18,34,58.7,41.3,1,1,9,9,1,1,9,12,0,0,7,15,0,0,NA,NA,Frederik Andersen,Carey Price,Auston Matthews,Frederik Andersen,John Tavares,1,
2018020002,R,15,6,Washington Capitals,Boston Bruins,15,2018-10-03,7,0,37,25,10,3,13,5,14,32,4.0,0.0,6.0,2.0,16,28,31.7,68.3,2,0,13,9,4,0,12,6,1,0,12,10,NA,NA,NA,NA,Braden Holtby,Tuukka Rask,Evgeny Kuznetsov,Nicklas Backstrom,Braden Holtby,
2018020003,R,23,20,Vancouver Canucks,Calgary Flames,23,2018-10-03,5,2,23,35,9,6,7,1,19,7,0.0,0.0,1.0,7.0,16,17,42.4,57.6,1,0,10,9,0,0,5,9,4,2,8,17,NA,NA,NA,NA,Jacob Markstrom,Mike Smith,Elias Pettersson,Jacob Markstrom,Christopher Tanev,
2018020004,R,28,24,San Jose Sharks,Anaheim Ducks,24,2018-10-03,2,5,33,15,8,6,10,9,6,6,0.0,2.0,3.0,3.0,21,25,51.7,48.3,1,1,11,5,1,1,15,4,0,3,7,6,NA,NA,NA,NA,John Gibson,Martin Jones,John Gibson,Rickard Rakell,Jakob Silfverberg,
2018020005,R,7,6,Buffalo Sabres,Boston Bruins,6,2018-10-04,0,4,32,26,19,6,1,1,4,6,0.0,1.0,2.0,1.0,25,13,56.7,43.3,0,2,6,11,0,1,11,10,0,1,15,5,NA,NA,NA,NA,Jaroslav Halak,Carter Hutton,Jaroslav Halak,Brad Marchand,David Pastrnak,
2018020007,R,5,15,Pittsburgh Penguins,Washington Capitals,5,2018-10-04,7,6,41,36,16,6,6,5,4,12,2.0,0.0,6.0,2.0,21,32,52.9,47.1,2,3,5,10,3,1,23,16,1,2,11,10,0,0,NA,NA,Matt Murray,Braden Holtby,Kris Letang,Jake Guentzel,T.J. Oshie,2,
2018020008,R,12,2,Carolina Hurricanes,New York Islanders,2,2018-10-04,1,2,46,20,14,3,13,15,6,6,0.0,1.0,3.0,3.0,29,32,60.0,40.0,0,0,16,7,0,1,15,7,1,0,15,4,2,1,NA,NA,Thomas Greiss,Petr Mrazek,Josh Bailey,Jordan Staal,Dougie Hamilton,0,
2018020006,R,3,18,New York Rangers,Nashville Predators,18,2018-10-04,2,3,36,33,10,9,10,16,6,6,0.0,0.0,1.0,1.0,24,21,47.5,52.5,0,0,7,9,1,1,17,15,1,2,12,9,NA,NA,NA,NA,Pekka Rinne,Henrik Lundqvist,Colton Sissons,Henrik Lundqvist,Pekka Rinne,
2018020009,R,9,16,Ottawa Senators,Chicago Blackhawks,16,2018-10-04,3,4,25,43,13,17,9,3,6,6,1.0,0.0,3.0,3.0,22,17,52.6,47.4,3,2,10,18,0,0,10,8,0,1,5,15,2,1,NA,NA,Cam Ward,Craig Anderson,Maxime Lajoie,Jonathan Toews,Craig Anderson,0,
2018020010,R,17,29,Detroit Red Wings,Columbus Blue Jackets,29,2018-10-04,2,3,20,39,16,5,5,4,12,6,1.0,1.0,3.0,6.0,20,13,43.0,57.0,0,1,5,11,2,1,9,11,0,0,3,16,1,1,NA,NA,Joonas Korpisalo,Jimmy Howard,Artemi Panarin,Jimmy Howard,Dylan Larkin,3,
